filename,read
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,True
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,True
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,True
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
