iter	Passed	Remaining
0	8	2576
1	16	2452
2	25	2512
3	33	2467
4	41	2474
5	49	2407
6	58	2466
7	69	2531
8	78	2522
9	86	2508
10	94	2476
11	101	2446
12	109	2422
13	117	2402
14	125	2387
15	137	2435
16	145	2430
17	153	2409
18	162	2397
19	172	2414
20	180	2396
21	188	2383
22	198	2390
23	206	2374
24	215	2371
25	224	2363
26	233	2358
27	241	2343
28	249	2334
29	258	2322
30	266	2315
31	275	2307
32	285	2312
33	296	2319
34	305	2309
35	315	2313
36	328	2332
37	340	2347
38	350	2347
39	360	2345
40	370	2342
41	381	2342
42	390	2334
43	401	2333
44	415	2354
45	431	2381
46	446	2403
47	457	2403
48	467	2395
49	476	2382
50	485	2371
51	494	2360
52	504	2352
53	513	2340
54	525	2340
55	535	2334
56	545	2325
57	554	2314
58	565	2309
59	577	2308
60	586	2297
61	595	2285
62	604	2275
63	615	2269
64	625	2262
65	634	2250
66	643	2239
67	653	2229
68	662	2218
69	672	2209
70	682	2201
71	693	2195
72	702	2185
73	711	2173
74	722	2166
75	732	2157
76	741	2147
77	750	2135
78	759	2124
79	768	2113
80	778	2104
81	788	2097
82	800	2092
83	811	2087
84	823	2083
85	833	2073
86	842	2063
87	853	2055
88	864	2049
89	875	2041
90	884	2031
91	894	2021
92	903	2010
93	914	2003
94	923	1992
95	933	1982
96	942	1971
97	953	1965
98	963	1955
99	972	1944
100	982	1935
101	992	1926
102	1061	2031
103	1084	2043
104	1094	2031
105	1103	2019
106	1112	2007
107	1122	1995
108	1132	1985
109	1149	1986
110	1160	1976
111	1170	1964
112	1180	1953
113	1190	1942
114	1202	1934
115	1212	1923
116	1221	1911
117	1232	1900
118	1243	1890
119	1254	1882
120	1264	1870
121	1275	1860
122	1284	1848
123	1294	1836
124	1304	1826
125	1313	1813
126	1323	1802
127	1333	1792
128	1343	1780
129	1354	1771
130	1365	1761
131	1374	1749
132	1384	1739
133	1394	1727
134	1404	1716
135	1414	1705
136	1423	1694
137	1435	1684
138	1444	1673
139	1454	1662
140	1466	1653
141	1476	1643
142	1488	1633
143	1498	1623
144	1510	1614
145	1520	1604
146	1533	1595
147	1543	1585
148	1554	1575
149	1565	1565
150	1580	1559
151	1593	1551
152	1603	1541
153	1614	1531
154	1627	1522
155	1637	1511
156	1648	1501
157	1659	1491
158	1670	1480
159	1683	1473
160	1695	1464
161	1712	1458
162	1726	1451
163	1740	1443
164	1754	1435
165	1768	1427
166	1781	1418
167	1796	1411
168	1807	1401
169	1818	1390
170	1831	1381
171	1841	1370
172	1852	1360
173	1864	1350
174	1876	1340
175	1888	1330
176	1899	1319
177	1909	1309
178	1921	1299
179	1934	1289
180	1945	1279
181	1960	1271
182	1971	1260
183	1982	1250
184	1993	1239
185	2004	1228
186	2018	1219
187	2031	1210
188	2045	1201
189	2058	1192
190	2070	1181
191	2083	1171
192	2096	1162
193	2107	1151
194	2122	1143
195	2134	1132
196	2144	1121
197	2155	1110
198	2166	1099
199	2177	1088
200	2189	1078
201	2200	1067
202	2214	1058
203	2228	1048
204	2240	1038
205	2253	1028
206	2265	1017
207	2277	1007
208	2289	996
209	2302	986
210	2314	976
211	2327	965
212	2340	955
213	2353	945
214	2364	934
215	2374	923
216	2384	911
217	2394	900
218	2403	888
219	2413	877
220	2424	866
221	2436	855
222	2447	845
223	2458	834
224	2471	823
225	2481	812
226	2494	802
227	2504	790
228	2515	780
229	2525	768
230	2536	757
231	2545	746
232	2555	734
233	2565	723
234	2575	712
235	2586	701
236	2597	690
237	2609	679
238	2620	668
239	2630	657
240	2643	647
241	2654	636
242	2664	624
243	2675	614
244	2686	603
245	2696	592
246	2708	581
247	2720	570
248	2732	559
249	2743	548
250	2754	537
251	2765	526
252	2775	515
253	2786	504
254	2799	494
255	2813	483
256	2823	472
257	2835	461
258	2846	450
259	2857	439
260	2868	428
261	2879	417
262	2889	406
263	2900	395
264	2912	384
265	2923	373
266	2935	362
267	2948	352
268	2962	341
269	2974	330
270	2990	320
271	3002	309
272	3016	298
273	3027	287
274	3041	276
275	3053	265
276	3064	254
277	3075	243
278	3088	232
279	3104	221
280	3119	210
281	3132	199
282	3144	188
283	3158	177
284	3170	166
285	3182	155
286	3193	144
287	3206	133
288	3218	122
289	3229	111
290	3242	100
291	3253	89
292	3267	78
293	3278	66
294	3292	55
295	3304	44
296	3318	33
297	3332	22
298	3344	11
299	3360	0
